date,description,link
"20/2023","Kansainvälinen sopimus kaikkien ihmisten suojelemiseksi tahdonvastaiselta katoamiselta","https://www.finlex.fi/fi/sopimukset/sopsviite/2023/20230020"
"17/2023","Pohjois-Atlantin sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2023/20230017"
"1/2023","Neuvostossa kokoontuvien Euroopan unionin jäsenvaltioiden hallitusten edustajien Athene-rahoitusmekanismille myönnettävistä erioikeuksista ja -vapauksista tehty päätös","https://www.finlex.fi/fi/sopimukset/sopsviite/2023/20230001"
"64/2022","Euroopan unionin ja sen jäsenvaltioiden sekä Australian liittovaltion välinen puitesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2022/20220064"
"17/2022","Euroopan neuvoston yleissopimus turvallisuutta, turvatoimia ja palveluja koskevasta yhdennetystä lähestymistavasta jalkapallo-otteluissa ja muissa urheilutilaisuuksissa","https://www.finlex.fi/fi/sopimukset/sopsviite/2022/20220017"
"14/2022","Sopimus yhdistetystä patenttituomioistuimesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2022/20220014"
"68/2021","Yhdistetyn patenttituomioistuimen (UPC) erioikeuksia ja vapauksia koskeva pöytäkirja (PPI)","https://www.finlex.fi/fi/sopimukset/sopsviite/2021/20210068"
"48/2021","Lisäpöytäkirja ilma-alusten laittoman haltuunoton ehkäisemistä koskevaan yleissopimukseen","https://www.finlex.fi/fi/sopimukset/sopsviite/2021/20210048"
"13/2021","Euroopan unionin, Euroopan atomienergiayhteisön ja niiden jäsenvaltioiden sekä Armenian tasavallan kokonaisvaltainen ja tehostettu kumppanuussopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2021/20210013"
"101/2020","Euroopan neuvoston yleissopimus viranomaisten asiakirjojen julkisuudesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200101"
"84/2020","Mannerjalustalla sijaitsevien kiinteiden lauttojen turvallisuuteen kohdistuvien laittomien tekojen ehkäisemistä koskevaan pöytäkirjaan liittyvä vuoden 2005 pöytäkirja","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200084"
"81/2020","Merenkulun turvallisuuteen kohdistuvien laittomien tekojen ehkäisemistä koskevaan yleissopimukseen liittyvä vuoden 2005 pöytäkirja","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200081"
"78/2020","Kansainvälisen rokoteinstituutin perustamisesta tehty sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200078"
"77/2020","Kansainvälisen rokoteinstituutin perustamisesta tehty sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200077"
"75/2020","Euroopan unionin ja sen jäsenvaltioiden sekä Jordanian Hashemiittisen kuningaskunnan välinen Euro-Välimeri -ilmailusopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200075"
"73/2020","Euroopan unionin ja sen jäsenvaltioiden sekä Moldovan tasavallan välinen lentoliikennesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200073"
"69/2020","Euroopan unionin ja sen jäsenvaltioiden sekä Israelin välinen Euro-Välimeri-lentoliikennesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200069"
"50/2020","Liitesopimus Suomen, Norjan ja Ruotsin hallitusten välisestä huoltovarmuudesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200050"
"43/2020","Sopimus kansainvälisen arktisen tiedeyhteistyön edistämisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200043"
"22/2020","Euroopan Unionin ja sen jäsenvaltioiden sekä Kazakstanin tehostettu kumppanuus- ja yhteistyösopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200022"
"7/2020","Sopimus Pohjoisen ulottuvuuden kulttuurikumppanuuden sihteeristön perustamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200007"
"6/2020","Vaarallisten jätteiden maan rajan ylittävien siirtojen ja käsittelyn valvontaa koskevan Baselin yleissopimuksen muutokset","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200006"
"3/2020","Suomen, Norjan ja Ruotsin välinen sopimus Pohjoiskalotin koulutussäätiöstä, vuodet 2020-2023","https://www.finlex.fi/fi/sopimukset/sopsviite/2020/20200003"
"91/2019","Maailman postiliiton yleissopimuksen lisäpöytäkirja, yleissopimuksen lisäpöytäkirjan päättöpöytäkirja, perussopimuksen kymmenes lisäpöytäkirja ja yleisohjesäännön toinen lisäpöytäkirja","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190091"
"81/2019","Sopimus eurooppalaisesta ajoneuvo- ja ajokorttitietojärjestelmästä (EUCARIS)","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190081"
"80/2019","Pöytäkirja tulo- ja varallisuusveroja koskevan kaksinkertaisen verotuksen välttämiseksi tehdyn sopimuksen muuttamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190080"
"57/2019","Maailman postiliiton yleissopimus. Maailman postiliiton yleissopimuksen päättöpöytäkirja. Maailman postiliiton perussopimuksen yhdeksäs lisäpöytäkirja. Maailman postiliiton yleisohjesäännön ensimmäinen lisäpöytäkirja.","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190057"
"52/2019","Tavaramerkkioikeudesta tehty Singaporen sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190052"
"50/2019","Kanadan sekä Euroopan yhteisön ja sen jäsenvaltioiden välinen lentoliikennesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190050"
"28/2019","Puitesopimus Euroopan yhteisön ja sen jäsenvaltioiden sekä Indonesian tasavallan kokonaisvaltaisesta kumppanuudesta ja yhteistyöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190028"
"23/2019","Euroopan Unionin ja sen jäsenvaltioiden sekä Latinalaisen Amerikan ja Karibian valtioiden (EU-LAC) välisen kansainvälisen säätiön perustaminen","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190023"
"21/2019","Monenvälinen yleissopimus jolla toteutetaan verosopimuksiin liittyvät toimenpiteet veropohjan rapautumisen ja voitonsiirron estämiseksi","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190021"
"12/2019","Sloveniaan sovelletun Euroopan vakausmekanismin peruspääoman jakoperusteen väliaikaisen korjauksen voimassaolon päättymisen seurauksena Euroopan vakausmekanismin perustamisesta tehdyt mukautukset","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190012"
"6/2019","Sähköistä rahtikirjaa koskeva lisäpöytäkirja, joka liittyy tavaran kansainvälisessä tiekuljetuksessa käytettävästä rahtisopimuksesta tehtyyn yleissopimukseen (CMR-sopimus)","https://www.finlex.fi/fi/sopimukset/sopsviite/2019/20190006"
"80/2018","Otsonikerrosta heikentävistä aineista tehdyn Montrealin pöytäkirjan muutos","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180080"
"74/2018","Ihmishengen turvallisuudesta merellä  vuonna 1974 tehty kansainvälinen yleissopimus, Päätöslauselma MSC.426(98) ja kiinteiden irtolastien aluskuljetusta koskevan kansainvälisen säännöstön muutokset, IMSBC-säännöstö","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180074"
"70/2018","Islannin osallistumisesta Euroopan unionin, sen jäsenvaltioiden ja Islannin velvoitteiden yhteiseen täyttämiseen ilmastonmuutosta koskevan Yhdistyneiden kansakuntien puitesopimuksen Kioton pöytäkirjan mukaisella toisella velvoitekaudella tehty sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180070"
"68/2018","Sopimus yhteistyöstä kilpailuasioissa Tanskan kuningaskunnan, Suomen tasavallan, Islannin tasavallan, Norjan kuningaskunnan ja Ruotsin kuningaskunnan välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180068"
"56/2018","Euroopan yhteisön ja sen jäsenvaltioiden ja Irakin tasavallan kumppanuutta ja yhteistyötä koskeva sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180056"
"52/2018","Euroopan ihmisoikeussopimuksen (yleissopimus ihmisoikeuksien ja perusvapauksien suojaamiseksi) 16 pöytäkirja","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180052"
"49/2018","Euroopan neuvoston puiteyleissopimus kulttuuriperinnön yhteiskunnallisesta merkityksestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180049"
"39/2018","Ihmishengen turvallisuudesta merellä tehty yleissopimus, PÄÄTÖSLAUSELMA MSC.412(97) (ESP-säännöstö, annettu 25.11.2016)","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180039"
"19/2018","Puitesopimus Euroopan unionin ja sen jäsenvaltioiden sekä Filippiinien tasavallan kumppanuudesta ja yhteistyöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180019"
"11/2018","Nagoya-Kuala Lumpurin lisäpöytäkirja korjaamisvastuusta Cartagenan bioturvallisuuspöytäkirjaan","https://www.finlex.fi/fi/sopimukset/sopsviite/2018/20180011"
